Id	Pathway	Gene
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	10229
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	154807
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	1728
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	2677
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	27235
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	3242
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	51004
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	51805
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	6898
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	79001
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	84274
hsa00140	Steroid hormone biosynthesis	100861540
hsa00140	Steroid hormone biosynthesis	10720
hsa00140	Steroid hormone biosynthesis	10941
hsa00140	Steroid hormone biosynthesis	1109
hsa00140	Steroid hormone biosynthesis	1312
hsa00140	Steroid hormone biosynthesis	1543
hsa00140	Steroid hormone biosynthesis	1544
hsa00140	Steroid hormone biosynthesis	1545
hsa00140	Steroid hormone biosynthesis	1551
hsa00140	Steroid hormone biosynthesis	1571
hsa00140	Steroid hormone biosynthesis	1576
hsa00140	Steroid hormone biosynthesis	1577
hsa00140	Steroid hormone biosynthesis	1581
hsa00140	Steroid hormone biosynthesis	1583
hsa00140	Steroid hormone biosynthesis	1584
hsa00140	Steroid hormone biosynthesis	1585
hsa00140	Steroid hormone biosynthesis	1586
hsa00140	Steroid hormone biosynthesis	1588
hsa00140	Steroid hormone biosynthesis	1589
hsa00140	Steroid hormone biosynthesis	1645
hsa00140	Steroid hormone biosynthesis	1646
hsa00140	Steroid hormone biosynthesis	220074
hsa00140	Steroid hormone biosynthesis	3283
hsa00140	Steroid hormone biosynthesis	3284
hsa00140	Steroid hormone biosynthesis	3290
hsa00140	Steroid hormone biosynthesis	3291
hsa00140	Steroid hormone biosynthesis	3292
hsa00140	Steroid hormone biosynthesis	3293
hsa00140	Steroid hormone biosynthesis	3294
hsa00140	Steroid hormone biosynthesis	374875
hsa00140	Steroid hormone biosynthesis	412
hsa00140	Steroid hormone biosynthesis	51144
hsa00140	Steroid hormone biosynthesis	51478
hsa00140	Steroid hormone biosynthesis	54490
hsa00140	Steroid hormone biosynthesis	54575
hsa00140	Steroid hormone biosynthesis	54576
hsa00140	Steroid hormone biosynthesis	54577
hsa00140	Steroid hormone biosynthesis	54578
hsa00140	Steroid hormone biosynthesis	54579
hsa00140	Steroid hormone biosynthesis	54600
hsa00140	Steroid hormone biosynthesis	54657
hsa00140	Steroid hormone biosynthesis	54658
hsa00140	Steroid hormone biosynthesis	54659
hsa00140	Steroid hormone biosynthesis	574537
hsa00140	Steroid hormone biosynthesis	6715
hsa00140	Steroid hormone biosynthesis	6716
hsa00140	Steroid hormone biosynthesis	6718
hsa00140	Steroid hormone biosynthesis	6783
hsa00140	Steroid hormone biosynthesis	6820
hsa00140	Steroid hormone biosynthesis	7363
hsa00140	Steroid hormone biosynthesis	7364
hsa00140	Steroid hormone biosynthesis	7365
hsa00140	Steroid hormone biosynthesis	7366
hsa00140	Steroid hormone biosynthesis	7367
